1,"b'Les propongo un sue\xc3\xb1o: que @horaciorlarreta venda los mates amarillos que compr\xc3\xb3 para el d\xc3\xada de la primavera y le banquemos el arreglo del auto a Carolina, la venezolana que se qued\xc3\xb3 sin trabajo porque el @gcba protege a la mafia de los taxis. https://t.co/tv6VUclczy'"
0,"b'@defensadeltaxi @sanidadgob @facua @DefensorPuebloE @consumorg @CECUMadrid @consumidores \xf0\x9f\x98\xa9\xf0\x9f\x98\xa9UN DIA HIST\xc3\x93RICO!!!!\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\nPOR FAVOR,  NO ME ENGA\xc3\x91EN \nCON M\xc3\x81S DIAS GRATIS!!!!\nMIRA, MIRA....\n#MejorEnTaxi #Taxi #taxiEspa\xc3\xb1a #Gobierno #vtc #DeleteUber #consumo #cabify #Uber #DefiendeEspana #EstafaCabifyUber #LicenciaUrbanaSi \n#TaxiEnLucha #1Vtc30Taxis #FelizJueves https://t.co/JvfW2JfXV8'"
0,"b'Te critican al presidente que fue a buscar a su hija en auto y de ah\xc3\xad se fue en helic\xc3\xb3ptero a un acto oficial, pero te entrevistan a Pikietto que expropio Ciccone para esconder a Boudou y a CFK que usaba los aviones como Uber para llevar la coima al calafate.\nSon completos.'"
0,"b'Vergonzosa la forma en que se repiti\xc3\xb3 una historia contada como una cr\xc3\xb3nica escrita por la redacci\xc3\xb3n de cada medio, cuando realmente no hab\xc3\xada un solo elemento constatado... fatal https://t.co/s5c3kE6QYV'"
1,"b'Parece que a los actores que hab\xc3\xada hoy en la ""manifestaci\xc3\xb3n"" de la patronal de VTCs pro Uber y Cabify no les ha dado tiempo a estudiar su papel\xf0\x9f\xa4\xa6\nPd: Los carteles hechos por el departamento de marketing han quedado muy chulos \xf0\x9f\x91\x8c  #TaxiEnLucha #LicenciaUrbanaSi https://t.co/PxPmzaRqN9'"
1,b'me da risa q mi novio tiene mi cuenta de uber pq su cuenta no funciona y siempre q hago viajes me tiene bien checad\xe2\x80\xa6 https://t.co/y5NPXUxC7R'
1,b'@salvador_reyesr @LilithChance Este es mi quinto Uber.'
1,b'Estoy en el uber con la se\xc3\xb1ora uber ver\xc3\xb3nica que va cantando carretera perdida de buitres me siento en el auto con mi t\xc3\xada :\xe2\x80\x99)'
1,b'Descuento Uber\xc2\xa0Eats con mi c\xc3\xb3digo: eats-hhrdc4tfue. https://t.co/WIboIL5o7j'
1,"b'Cuando  #Uber y #Cabify necesitan ofertar sus servicios GRATIS  para  disimular la nefasta conducci\xc3\xb3n de sus conductores y su nulo conocimiento de las calles, #EnElFuturoCabemosTodos , pero s\xc3\xb3lo los verdaderos profesionales nos quedaremos. #VivaElTaxi.'"
1,b'Pablo Antillano es un gran tipo\nCon una historia grande en el periodismo y en los sue\xc3\xb1os de la Venezuela de siempre\nNecesario es ayudarlo hoy\nMe sumo \n\xf0\x9f\x91\x87 https://t.co/waJZncH70C'
1,b'RT @Klkautsky1: Lo de la fascistada infecta de Uber. Por si os interesa. https://t.co/YuPLVqUyOx'
1,b'Escucha a lukys93 cantando \xe2\x80\x9cY ahora que\xe2\x80\x9d de Patito Feo con @RedKaraoke en https://t.co/ZzVgvTC1DL #cover #breaking\xe2\x80\xa6 https://t.co/E9aoFyWkHP'
1,b'RT @noticiAmerica: Colombia: mujer y amante pidieron Uber para ir a hotel y el chofer era el esposo \xe2\x96\xba https://t.co/fk9p3AJaTx https://t.co/\xe2\x80\xa6'
0,b'AYYY RE LINDO YO QUIERO'
0,b'RT @i_menfc: Imaginad toda esta \xe2\x80\x9ctecnolog\xc3\xada punta\xe2\x80\x9d aplicada a un veh\xc3\xadculo aut\xc3\xb3nomo sin conductor...\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/vZY7N1It1u'
0,"b'Siempre me critican cuando digo que hicieron demasiado chongo contra uber,  ""un d\xc3\xada te van a violar y ahi vas a pen\xe2\x80\xa6 https://t.co/mbCrZFSqLY'"
1,b'Mi hermano Pablo est\xc3\xa1 enfermo. Batalla contra el c\xc3\xa1ncer. Los costos del tratamientos  nos sobrepasan. Les pido ayuda a quienes puedan hacerlo. Mil gracias\nhttps://t.co/S7f0O2Sev6'
1,b'No se que pensar cuando mi chofer de #uber es ni\xc3\xb1a literal y anda muy 80tera con sus rolas inspiradoras \xf0\x9f\xa4\x94'
1,b'#EnElFururoCabemosTodos #haciadondenosmovemos\n#poderelegir #cabify #Uber y estas personas son lo m\xc3\xa1s selecto que ha salido de vuestras exhaustivas pruebas...\n#LicenciaUrbanaYa https://t.co/fhRXuvkBBu'
0,b'RT @juancristonomo: Los caza Uber son otro fen\xc3\xb3meno del sindicalismo argentino.'
0,b'Cada vez que tomo un uber le paso cap de pantalla de los datos del chabon a mi mam\xc3\xa1 o a mi novio jaja. Uno nunca sa\xe2\x80\xa6 https://t.co/6OYw0w2Ke5'
0,b'\xc2\xbfA veces?'
0,"b'Nuevo ataque de quemacoches contra un auto al que acusaron de Uber: ""Literalmente me han dejado en la calle, es mi medio de laburo, mi \xc3\xbanico ingreso."" https://t.co/gdlmLGeYx3 https://t.co/jKqD9uKSJm'"
1,b'Ir en Uber es la manera m\xc3\xa1s f\xc3\xa1cil y r\xc3\xa1pida de sentirte como millonario con chofer personal. Aqu\xc3\xad voy en el asiento de atr\xc3\xa1s usando mi celular al suave. En un rato me bajo porque me toca manejar y meterme al tr\xc3\xa1fico a comer mierda.'
0,"b'#EnElFuturoCabemosTodos #TaxiEnLucha #nomasprecariedad\n\n\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91\n\nIMPORTANTES ANUNCIOS DEL PORTAVOZ DE CONDUCTORES #vtc #uber #Cabify\n\nRogamos paciencia, es un v\xc3\xaddeo extenso porque es muy detallista en los conceptos. https://t.co/3l9xukWRhF'"
